,Country,time ,Armed forces occupations_Female,Armed forces occupations_Male,Managers_Female,Managers_Male,Professionals_Female,Professionals_Male,Technicians and associate professionals_Female,Technicians and associate professionals_Male,Clerical support workers_Female,Clerical support workers_Male,Service and sales workers_Female,Service and sales workers_Male,"Skilled agricultural, forestry and fishery workers_Female","Skilled agricultural, forestry and fishery workers_Male",Craft and related trades workers_Female,Craft and related trades workers_Male,"Plant and machine operators, and assemblers_Female","Plant and machine operators, and assemblers_Male",Elementary_Female,Elementary_Male
320,Italy,2020,11.92,12.02,15.88,14.87,16.08,14.45,11.18,11.54,10.07,10.51,8.3,9.45,7.37,7.8,8.67,9.28,8.47,9.56,8.66,8.47
326,Jamaica,2011,0.0,276.3,367.05,340.41,384.38,458.25,240.96,264.33,160.69,194.22,101.37,148.49,75.26,90.46,133.64,160.62,92.59,143.23,93.65,104.62
327,Jamaica,2012,0.0,402.65,364.07,409.59,385.84,481.75,203.85,210.75,158.38,172.55,101.29,138.47,113.87,113.79,98.58,134.52,113.28,119.31,92.49,99.11
328,Jamaica,2013,0.0,492.39,442.48,620.8,462.12,524.3,231.57,266.53,185.3,202.37,121.24,170.03,85.0,95.48,130.24,143.62,310.41,144.48,93.74,105.23
329,Jamaica,2014,0.0,511.59,556.12,603.18,478.66,575.2,259.91,284.23,181.55,204.82,125.16,165.48,442.42,152.53,91.04,143.01,117.09,130.01,92.75,128.67
337,Kenya,2005,69.44,83.93,248.52,295.6,182.07,170.18,75.91,86.01,70.86,63.13,24.91,32.14,15.04,14.84,15.84,38.08,29.8,47.98,17.56,22.75
338,Kenya,2019,634.0,330.03,332.35,549.47,210.84,279.63,157.87,264.98,214.33,325.62,60.91,63.8,25.6,32.56,395.69,51.98,84.71,61.31,26.81,30.99
341,Lao People's Democratic Republic,2017,11469.39,11102.65,12386.31,13963.56,21756.16,32459.34,20273.54,19467.74,13339.91,13189.34,12193.56,12474.01,13332.95,10148.45,17867.15,14048.12,7889.76,13240.1,9395.63,11699.79
342,Lao People's Democratic Republic,2022,10582.82,12349.42,13377.13,20647.96,13461.74,16910.63,13729.31,16419.87,14203.73,18188.86,16146.61,13847.76,16934.7,18686.94,9927.99,16794.61,10170.55,21105.78,14059.4,18031.12
346,Lebanon,2019,7731.26,6802.97,12631.5,14281.11,11514.35,13760.95,7497.74,8356.98,7162.62,7009.97,5422.79,5163.09,5741.23,4329.83,4371.79,4559.02,3421.26,4739.31,3596.8,3539.13
368,Maldives,2016,59.65,68.64,89.4,135.58,68.66,110.42,62.77,68.97,50.07,49.19,33.18,40.72,54.04,39.55,92.59,47.24,102.25,56.25,46.86,40.99
394,Mexico,2013,44.44,34.15,66.56,66.5,65.03,70.1,37.23,43.91,33.41,33.51,20.99,23.35,17.91,20.81,20.71,28.36,20.05,25.21,22.05,20.59
395,Mexico,2014,33.43,35.57,68.23,68.1,64.65,72.68,39.22,44.78,33.79,33.69,21.32,23.62,19.27,21.34,20.77,29.12,20.61,25.53,22.71,20.91
396,Mexico,2015,28.15,32.37,73.7,72.49,68.18,74.51,40.28,46.24,35.01,35.33,21.76,23.9,20.48,21.58,21.99,30.07,21.63,26.75,23.6,21.54
397,Mexico,2016,39.72,32.12,71.68,75.85,69.74,76.99,42.22,47.55,36.35,36.95,23.37,25.19,24.68,23.29,22.51,31.98,23.11,28.04,24.79,22.59
398,Mexico,2017,25.56,33.9,74.33,77.43,71.23,78.14,43.5,49.03,38.56,38.77,24.68,26.73,23.93,25.4,23.76,33.08,24.61,29.26,26.61,23.59
399,Mexico,2018,34.87,36.47,73.42,77.98,74.54,80.15,44.27,51.35,40.18,40.36,25.43,28.28,26.12,26.85,25.36,34.94,26.33,31.2,27.78,24.95
400,Mexico,2019,47.3,38.03,72.57,80.91,75.22,83.7,46.85,53.72,41.38,41.98,27.37,29.59,26.64,28.71,27.95,37.33,28.72,33.47,29.8,26.7
401,Mexico,2020,46.22,38.13,103.34,101.32,89.29,100.16,61.68,58.91,51.78,53.13,30.49,32.17,31.47,30.85,27.86,41.09,30.32,36.03,32.35,29.37
402,Mexico,2021,45.88,45.28,86.94,100.31,89.46,100.66,57.82,62.19,49.69,49.11,30.68,33.62,32.83,33.01,32.33,42.15,32.58,37.56,33.6,29.86
403,Mexico,2022,42.53,47.07,86.15,93.93,89.11,99.39,58.07,61.95,49.22,50.08,33.31,36.38,32.57,35.74,34.27,44.79,35.5,40.43,35.83,32.61
404,Mexico,2023,57.84,51.02,99.12,109.39,94.24,108.42,62.73,66.73,54.13,55.15,37.03,40.8,38.15,40.16,38.14,50.22,40.63,45.87,40.13,36.43
408,Mongolia,2011,2192.3,2115.97,2554.01,2700.23,2038.81,2437.52,1772.89,1987.01,1698.52,1759.27,1101.71,1272.21,1294.78,881.92,1309.98,1601.03,1873.54,1779.19,1039.26,1075.17
409,Mongolia,2012,2625.33,2749.04,2973.65,3744.55,2648.16,3162.81,2486.61,2553.9,2113.7,2140.37,1388.65,1707.04,1099.63,920.56,1579.69,1961.24,2250.6,2273.99,1342.88,1275.06
410,Mongolia,2013,2613.01,3016.13,3388.17,4322.57,3119.36,3816.86,2984.88,3224.07,2524.27,2520.6,1688.09,2054.31,1223.86,1374.37,1883.7,2377.51,2747.5,2807.34,1555.33,1664.76
